pair_id,from_id,to_id,distance_nm,sea_time_h
P06__P30,P06,P30,1238.3947490528788,88.45676778949134
P06__P31,P06,P31,1180.3712818204415,84.31223441574582
P06__P32,P06,P32,587.2989398314769,41.94992427367692
P06__P33,P06,P33,75.76584530941429,5.411846093529592
P06__P34,P06,P34,642.470451505021,45.890746536072925
P06__P35,P06,P35,636.6351693680282,45.47394066914487
P06__P36,P06,P36,1183.0138069313161,84.50098620937972
P06__P37,P06,P37,1161.331487634557,82.95224911675407
P06__P38,P06,P38,143.99252638622647,10.285180456159035
P06__P39,P06,P39,552.9304284512306,39.49503060365932
P06__P40,P06,P40,527.141583070374,37.65297021931243
P07__P01,P07,P01,342.2607075872253,24.44719339908752
P07__P02,P07,P02,530.8721867892067,37.91944191351477
P07__P03,P07,P03,1441.1242329257425,102.9374452089816
P07__P04,P07,P04,1342.243960868405,95.87456863345751
P07__P05,P07,P05,459.956989073976,32.85407064814114
P07__P06,P07,P06,494.8258918374635,35.34470655981882
P07__P08,P07,P08,437.1222165250518,31.22301546607513
P07__P09,P07,P09,1159.8465101147108,82.84617929390791
P07__P10,P07,P10,1181.8068157679927,84.41477255485663
P07__P11,P07,P11,539.5695835682632,38.54068454059023
P07__P12,P07,P12,472.6041878833332,33.75744199166666
P07__P13,P07,P13,421.4903684710448,30.106454890788914
P07__P14,P07,P14,168.89355808330183,12.063825577378703
P07__P15,P07,P15,1430.838751722819,102.20276798020136
P07__P16,P07,P16,753.7450367018814,53.83893119299153
P07__P17,P07,P17,463.78293329163,33.12735237797357
P07__P18,P07,P18,650.2967963733606,46.44977116952576
P07__P19,P07,P19,314.84405991623123,22.488861422587945
P07__P20,P07,P20,1057.3717691739935,75.52655494099953
P07__P21,P07,P21,397.3843844396129,28.38459888854378
P07__P22,P07,P22,1122.6667840642288,80.19048457601635
P07__P23,P07,P23,1213.9744020586663,86.71245728990473
P07__P24,P07,P24,347.93116459254986,24.85222604232499
P07__P25,P07,P25,1558.7685730771384,111.34061236265275
P07__P26,P07,P26,405.73693630120255,28.98120973580018
P07__P27,P07,P27,1649.714347386891,117.83673909906364
P07__P28,P07,P28,1073.3531725341015,76.66808375243582
P07__P29,P07,P29,1332.0261615647587,95.1447258260542
P07__P30,P07,P30,1441.267515337054,102.94767966693243
P07__P31,P07,P31,1383.2440481046167,98.80314629318691
P07__P32,P07,P32,679.8265556487991,48.559039689199935
P07__P33,P07,P33,437.1222165250518,31.22301546607513
P07__P34,P07,P34,801.7995808094856,57.27139862924897
P07__P35,P07,P35,714.0490905312855,51.00350646652039
P07__P36,P07,P36,1385.8865732154916,98.99189808682083
P07__P37,P07,P37,1364.2042539187323,97.44316099419517
P07__P38,P07,P38,350.83336545123694,25.05952610365978
P07__P39,P07,P39,107.61793799329392,7.686995570949565
P07__P40,P07,P40,234.96278139663917,16.783055814045657
P08__P01,P08,P01,728.9689854832287,52.06921324880205
P08__P02,P08,P02,129.71163820007635,9.265117014291167
P08__P03,P08,P03,1192.3240324274407,85.16600231624577
P08__P04,P08,P04,1093.4437603701033,78.10312574072167
P08__P05,P08,P05,364.0073685473316,26.000526324809403
P08__P06,P08,P06,75.76584530941429,5.411846093529592
P08__P07,P08,P07,437.1222165250518,31.22301546607513
P08__P09,P08,P09,911.0463096164092,65.07473640117209
P08__P10,P08,P10,933.0066152696908,66.64332966212076
P08__P11,P08,P11,120.50953704021407,8.607824074301005
P08__P12,P08,P12,105.59550987954145,7.542536419967247
P08__P13,P08,P13,206.5250223280185,14.751787309144179
P08__P14,P08,P14,279.57751924483256,19.969822803202327
P08__P15,P08,P15,1182.0385512245168,84.43132508746548
P08__P16,P08,P16,622.6576699421139,44.47554785300814
P08__P17,P08,P17,179.44236542591983,12.817311816137131
P08__P18,P08,P18,441.95085950887926,31.567918536348518
P08__P19,P08,P19,190.5200672760394,13.608576234002815
P08__P20,P08,P20,808.5715686756919,57.755112048263705
P08__P21,P08,P21,784.0926623356164,56.00661873825832
P08__P22,P08,P22,873.8665835659272,62.41904168328051
P08__P23,P08,P23,990.0881090492686,70.7205792178049
P08__P24,P08,P24,137.2288355122551,9.802059679446794
P08__P25,P08,P25,1363.9818141285677,97.42727243775484
P08__P26,P08,P26,792.4452141972059,56.60322958551471
P08__P27,P08,P27,1424.7739416121617,101.76956725801155
P08__P28,P08,P28,824.5529720357997,58.89664085969998
P08__P29,P08,P29,1083.225961066457,77.37328293331836
P08__P30,P08,P30,1192.4673148387521,85.17623677419658
P08__P31,P08,P31,1134.4438476063149,81.03170340045106
P08__P32,P08,P32,535.8659959305452,38.27614256646751
P08__P33,P08,P33,0.0,0.0
P08__P34,P08,P34,596.5430172908946,42.61021552077818
P08__P35,P08,P35,585.2022254670966,41.80015896193547
P08__P36,P08,P36,1137.0863727171898,81.22045519408498
P08__P37,P08,P37,1115.4040534204305,79.67171810145932
P08__P38,P08,P38,86.2888510738148,6.163489362415342
P08__P39,P08,P39,495.2267531388191,35.37333950991565
P08__P40,P08,P40,475.70863916944245,33.97918851210303
P09__P01,P09,P01,1370.4380955186627,97.8884353941902
P09__P02,P09,P02,802.5553998514149,57.325385703672495
P09__P03,P09,P03,325.4704713070245,23.24789080764461
P09__P04,P09,P04,219.88591812842097,15.706137009172926
P09__P05,P09,P05,716.6469053431827,51.18906466737019
P09__P06,P09,P06,956.9737438305357,68.35526741646683
P09__P07,P09,P07,1159.8465101147108,82.84617929390791
P09__P08,P09,P08,911.0463096164093,65.07473640117209
P09__P10,P09,P10,441.28018726428763,31.520013376020547
P09__P11,P09,P11,849.1942278679759,60.65673056199828
P09__P12,P09,P12,872.0874069048459,62.291957636060424
P09__P13,P09,P13,861.0282967557481,61.50202119683915
P09__P14,P09,P14,1064.0316968321779,76.00226405944127
P09__P15,P09,P15,690.3121232191135,49.30800880136525
P09__P16,P09,P16,490.1874739723711,35.01339099802651
P09__P17,P09,P17,755.8364433935029,53.988317385250205
P09__P18,P09,P18,509.5497137413503,36.39640812438216
P09__P19,P09,P19,1021.5965415802739,72.97118154144813
P09__P20,P09,P20,327.41461239562625,23.386758028259017
P09__P21,P09,P21,1418.2546376070618,101.3039026862187
P09__P22,P09,P22,102.17694147116686,7.298352962226204
P09__P23,P09,P23,555.853974246869,39.70385530334779
P09__P24,P09,P24,968.3053098164896,69.16466498689212
P09__P25,P09,P25,941.9229025468632,67.28020732477594
P09__P26,P09,P26,1426.6071894686513,101.90051353347509
P09__P27,P09,P27,954.673957361884,68.19099695442029
P09__P28,P09,P28,109.24111646884742,7.802936890631959
P09__P29,P09,P29,231.45901453581234,16.532786752558025
P09__P30,P09,P30,325.61375371833617,23.258125265595442
P09__P31,P09,P31,267.59028648589873,19.11359189184991
P09__P32,P09,P32,558.5995352153267,39.89996680109476
P09__P33,P09,P33,911.0463096164093,65.07473640117209
